j,x,F(x),S(x),diff_F,F'(x),S'(x),diff_F',F''(x),S''(x),diff_F''
165,0.825,0.803184,0.803062,0.000122045,-8.83695,-8.84261,0.00566004,38.7918,38.9818,-0.190094
166,0.83,0.759503,0.759356,0.000146794,-8.63155,-8.63553,0.00398361,43.3521,43.8496,-0.497501
167,0.835,0.716906,0.716747,0.000158881,-8.40361,-8.40412,0.000505339,47.8047,48.7174,-0.91271
168,0.84,0.675504,0.675356,0.000147902,-8.1537,-8.14836,-0.00534174,52.1383,53.5851,-1.44686
169,0.845,0.635404,0.635304,0.000100482,-7.88245,-7.86827,-0.0141795,56.3421,58.4529,-2.11078
170,0.85,0.596714,0.596714,-8.88178e-16,-7.59052,-7.56383,-0.0266833,60.4057,63.3207,-2.91498
171,0.855,0.559533,0.559696,-0.000163274,-7.27864,-7.2413,-0.0373422,64.3188,65.6933,-1.37448
172,0.86,0.523959,0.52432,-0.000361243,-6.94759,-6.9069,-0.0406953,68.0716,68.0659,0.00577954
173,0.865,0.490087,0.490647,-0.000559422,-6.59821,-6.56064,-0.0375672,71.6549,70.4385,1.21642
174,0.87,0.458006,0.458734,-0.000727562,-6.23134,-6.20251,-0.0288287,75.0595,72.8111,2.24847
175,0.875,0.427801,0.428641,-0.00083988,-5.84792,-5.83253,-0.0153943,78.2771,75.1837,3.09342
176,0.88,0.399553,0.400428,-0.00087527,-5.4489,-5.45068,0.00178018,81.2995,77.5563,3.74322
177,0.885,0.373337,0.374154,-0.000817501,-5.03527,-5.05697,0.0217,84.1192,79.9289,4.19031
178,0.89,0.349223,0.349878,-0.000655412,-4.60806,-4.65139,0.0433336,86.7291,82.3015,4.42763
179,0.895,0.327277,0.32766,-0.000383083,-4.16834,-4.23395,0.0656157,89.1227,84.6741,4.44866
180,0.9,0.307559,0.307559,0,-3.7172,-3.80465,0.0874497,91.2941,87.0467,4.2474
181,0.905,0.290122,0.289639,0.00048288,-3.25577,-3.35994,0.104163,93.2377,90.8383,2.39936
182,0.91,0.275016,0.273991,0.00102526,-2.78521,-2.89627,0.111056,94.9487,94.63,0.318734
183,0.915,0.262283,0.260708,0.00157511,-2.30668,-2.41364,0.106955,96.4229,98.4217,-1.99875
184,0.92,0.251961,0.249886,0.0020745,-1.82138,-1.91205,0.0906671,97.6566,102.213,-4.55679
185,0.925,0.244079,0.241619,0.00245946,-1.33052,-1.3915,0.060981,98.6466,106.005,-7.35847
186,0.93,0.238663,0.236003,0.00265994,-0.835326,-0.851998,0.0166722,99.3905,109.797,-10.4063
